1	;7.17604	;20.3529	;31.9023	;37.044	;41.8209	;8.62968
128	;6.5071	;8.42075	;5.44471	;3.13816	;2.46313	;1.62077
129	;6.50709	;8.42076	;5.44469	;3.13816	;2.46313	;1.62077
130	;6.5071	;8.42077	;5.44467	;3.13816	;2.46313	;1.62077
131	;6.5071	;8.42077	;5.44466	;3.13816	;2.46313	;1.62077
132	;6.5071	;8.42079	;5.44464	;3.13816	;2.46313	;1.62077
133	;6.5071	;8.4208	;5.44462	;3.13816	;2.46313	;1.62076
134	;6.50709	;8.42081	;5.4446	;3.13816	;2.46313	;1.62076
135	;6.50673	;8.4224	;5.44487	;3.13703	;2.46232	;1.62074
136	;6.5066	;8.4235	;5.4451	;3.13612	;2.46161	;1.62071
137	;6.50653	;8.42349	;5.445	;3.13638	;2.46146	;1.62071
138	;6.50651	;8.42347	;5.44493	;3.1365	;2.46142	;1.6207
139	;6.50652	;8.42348	;5.44477	;3.13664	;2.46141	;1.6207
140	;6.50653	;8.42349	;5.44461	;3.13673	;2.46141	;1.6207
141	;6.50653	;8.42349	;5.44444	;3.1368	;2.46142	;1.6207
142	;6.51625	;8.5987	;5.2935	;3.16787	;2.35227	;1.61794
143	;6.52013	;8.68555	;5.2282	;3.15811	;2.28262	;1.61458
144	;6.51898	;8.68355	;5.10279	;3.15447	;2.36904	;1.61172
145	;6.51898	;8.68355	;5.10279	;3.15447	;2.36904	;1.61172
146	;6.51985	;8.70935	;5.10158	;3.15386	;2.34213	;1.61159
147	;6.52036	;8.71631	;5.08998	;3.15256	;2.34271	;1.61129
148	;6.52017	;8.71729	;5.08657	;3.15346	;2.34216	;1.61115
149	;6.52014	;8.71668	;5.0825	;3.15364	;2.34619	;1.61112
150	;6.52014	;8.71736	;5.08444	;3.15364	;2.34354	;1.61111

1	;10.9794	;17.8598	;6.04944	;40.7118	;19.9252	;5.9608
2	;10.0906	;11.3373	;19.2176	;15.4417	;3.56407	;3.72224
3	;10.0906	;11.3373	;19.2176	;15.4417	;3.56407	;3.72224
4	;5.70724	;8.08962	;19.2002	;16.5627	;3.42216	;3.30608
5	;5.70724	;8.08962	;19.2002	;16.5627	;3.42216	;3.30608
6	;5.70724	;8.08962	;19.2002	;16.5627	;3.42216	;3.30608
7	;5.92805	;7.60252	;18.973	;16.7331	;3.46472	;3.28856
8	;9.7543	;7.17578	;17.9999	;9.87074	;3.98871	;3.04446
9	;10.45	;7.39309	;12.0044	;3.01239	;7.36268	;2.50988
10	;10.7278	;9.32764	;5.82856	;3.56439	;7.21529	;2.28781
11	;11.8347	;8.62478	;4.66493	;2.82701	;7.29044	;2.19909
12	;11.8863	;8.63447	;5.23834	;5.22512	;2.39652	;2.08296
13	;12.1255	;8.31169	;6.76788	;4.01316	;1.74456	;2.05688
14	;12.1255	;8.31169	;6.76788	;4.01316	;1.74456	;2.05688
15	;12.1255	;8.31169	;6.76788	;4.01316	;1.74456	;2.05688
16	;12.123	;7.84095	;6.07383	;4.54435	;2.36618	;2.05597
17	;12.0084	;7.97033	;6.10655	;4.48052	;2.13815	;2.04073
18	;11.8215	;7.82298	;6.03958	;3.29174	;2.56507	;1.96815
19	;11.7903	;7.47734	;4.97022	;3.18722	;3.74221	;1.94484
20	;11.8048	;7.86789	;4.78986	;2.81625	;2.92128	;1.88448
21	;11.7667	;8.17031	;4.37322	;2.86118	;2.55463	;1.85491
22	;11.7667	;8.17031	;4.37322	;2.86118	;2.55463	;1.85491
23	;9.88398	;8.18048	;5.34098	;3.16517	;2.63829	;1.82263
24	;7.08919	;8.30911	;5.906	;3.16586	;1.9927	;1.65128
25	;7.08919	;8.30911	;5.906	;3.16586	;1.9927	;1.65128
26	;7.05065	;8.35864	;5.94014	;3.02259	;2.05343	;1.64895
27	;7.05065	;8.35864	;5.94014	;3.02259	;2.05343	;1.64895
28	;7.24208	;8.37456	;5.50253	;2.95174	;2.17395	;1.63768
29	;7.24209	;8.39182	;4.90268	;3.23089	;2.27271	;1.62491
30	;7.08075	;8.58738	;4.91371	;3.16293	;2.27043	;1.62335
31	;7.08075	;8.58738	;4.91371	;3.16293	;2.27043	;1.62335
32	;6.58156	;8.79491	;4.8813	;3.19218	;2.47259	;1.61757
33	;6.49154	;8.84854	;4.88862	;3.12126	;2.5314	;1.615
34	;6.49154	;8.84854	;4.88862	;3.12126	;2.5314	;1.615
35	;6.49488	;8.92748	;4.76509	;3.12319	;2.5192	;1.61178
36	;6.49488	;8.92748	;4.76509	;3.12319	;2.5192	;1.61178
37	;6.49488	;8.92748	;4.76509	;3.12319	;2.5192	;1.61178
38	;6.4942	;8.96188	;4.76563	;3.12534	;2.47243	;1.61114
39	;6.4942	;8.96188	;4.76563	;3.12534	;2.47243	;1.61114
40	;6.5042	;8.96025	;4.76123	;3.15324	;2.43565	;1.61083
41	;6.5042	;8.96025	;4.76123	;3.15324	;2.43565	;1.61083
42	;6.4533	;9.13037	;4.77624	;3.04634	;2.40738	;1.61077
43	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
44	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
45	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
46	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
47	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
48	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
49	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
50	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
51	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
52	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
53	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
54	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
55	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
56	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
57	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
58	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
59	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
60	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
61	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
62	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
63	;6.52463	;9.0406	;4.77536	;3.0721	;2.37697	;1.60927
64	;6.52434	;9.04059	;4.77591	;3.07185	;2.37663	;1.60925
65	;6.52434	;9.04059	;4.77591	;3.07185	;2.37663	;1.60925
66	;6.48791	;9.0698	;4.77639	;3.07772	;2.3769	;1.60922
67	;6.48791	;9.0698	;4.77639	;3.07772	;2.3769	;1.60922
68	;6.48791	;9.0698	;4.77639	;3.07772	;2.3769	;1.60922
