1	;35.087	;2.60978	;86.9986	;40.2882	;274144
61	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
62	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
63	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
64	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
65	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
66	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
67	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
68	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
69	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
70	;1.85691	;0.928977	;61.6929	;53.8703	;11638.3
71	;1.57636	;0.928949	;63.8864	;33.9906	;9721.54
72	;1.4692	;0.927734	;61.7427	;37.7437	;9322.01
73	;1.4692	;0.927734	;61.7427	;37.7437	;9322.01
74	;1.50269	;0.810048	;65.652	;35.5646	;9109.19
75	;1.50269	;0.810048	;65.652	;35.5646	;9109.19
76	;1.50269	;0.810048	;65.652	;35.5646	;9109.19
77	;1.50269	;0.810048	;65.652	;35.5646	;9109.19
78	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
79	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
80	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
81	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
82	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
83	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
84	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
85	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
86	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
87	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
88	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
89	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
90	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
91	;1.49696	;0.851211	;61.9286	;26.9269	;7936.44
92	;1.71349	;0.700219	;62.765	;26.8295	;7211.14
93	;1.60357	;0.690224	;63.1514	;26.8778	;7061.51
94	;1.5794	;0.661829	;63.448	;26.8452	;6857.04
95	;1.58413	;0.675831	;66.0786	;19.4919	;6848.47
96	;1.58413	;0.675831	;66.0786	;19.4919	;6848.47
97	;1.64178	;0.729852	;64.6279	;14.4829	;6653.5
98	;1.64178	;0.729852	;64.6279	;14.4829	;6653.5
99	;1.64178	;0.729852	;64.6279	;14.4829	;6653.5
100	;1.64208	;0.721067	;64.9242	;14.4411	;6634.86
101	;1.64202	;0.723035	;64.5197	;14.0772	;6546.21
102	;1.64206	;0.724822	;64.5117	;13.7855	;6534
103	;1.64206	;0.724822	;64.5117	;13.7855	;6534
104	;1.40453	;0.724744	;64.4937	;13.607	;6354.08
105	;2.0286	;0.655886	;64.4976	;14.3877	;6333.36
106	;1.40019	;0.707344	;64.4936	;14.6949	;6294.43
107	;1.40019	;0.707344	;64.4936	;14.6949	;6294.43
108	;1.40019	;0.707344	;64.4936	;14.6949	;6294.43
109	;1.46655	;0.650085	;64.4937	;15.8965	;5985.3
110	;1.39427	;0.632387	;64.5197	;14.7853	;5716.99
111	;1.42861	;0.610319	;64.5744	;13.6198	;5495.83
112	;1.25699	;0.614613	;64.5816	;13.2035	;5390.14
113	;1.25699	;0.614613	;64.5816	;13.2035	;5390.14
114	;1.25699	;0.614613	;64.5816	;13.2035	;5390.14
115	;1.25699	;0.614613	;64.5816	;13.2035	;5390.14
116	;1.25607	;0.614269	;64.5816	;13.0673	;5378.31
117	;1.25607	;0.614269	;64.5816	;13.0673	;5378.31
118	;1.25607	;0.614269	;64.5816	;13.0673	;5378.31
119	;1.25607	;0.614269	;64.5816	;13.0673	;5378.31
120	;1.25607	;0.614269	;64.5816	;13.0673	;5378.31
121	;1.2536	;0.613205	;64.5819	;13.0266	;5366
122	;1.2536	;0.613205	;64.5819	;13.0266	;5366
123	;1.2536	;0.613205	;64.5819	;13.0266	;5366
124	;1.24924	;0.613438	;64.5829	;13.0278	;5365.31
125	;1.24817	;0.613347	;64.5826	;13.0261	;5363.78
126	;1.24817	;0.613347	;64.5826	;13.0261	;5363.78
127	;1.24808	;0.613331	;64.5827	;13.0262	;5363.63
128	;1.24808	;0.613331	;64.5827	;13.0262	;5363.63
129	;1.24724	;0.612482	;64.5342	;13.0267	;5349.26
130	;1.24724	;0.612482	;64.5342	;13.0267	;5349.26
131	;1.24724	;0.612482	;64.5342	;13.0267	;5349.26
132	;1.24724	;0.612482	;64.5342	;13.0267	;5349.26
133	;1.24723	;0.61234	;64.5393	;13.0236	;5348.72
134	;1.24722	;0.612295	;64.5356	;13.0259	;5347.96
135	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
136	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
137	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
138	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
139	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
140	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
141	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
142	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
143	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
144	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
145	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
146	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
147	;1.24721	;0.609973	;64.5359	;13.0261	;5330.08
148	;1.24722	;0.609973	;64.5315	;13.0292	;5329.62
149	;1.24725	;0.609973	;64.5292	;13.0313	;5329.42
150	;1.24725	;0.609973	;64.5292	;13.0313	;5329.42

1	;22.9424	;1.65319	;60.5227	;61.3612	;169382
2	;7.97707	;2.01856	;74.8835	;50.3598	;53067.1
3	;7.78183	;0.86782	;85.4625	;61.1319	;49208.8
4	;3.86742	;0.891356	;90.2585	;54.9834	;28327.8
5	;2.06743	;0.891363	;92.3135	;50.6082	;21000.6
6	;2.07867	;0.905758	;81.5216	;50.6302	;17559.9
7	;2.24748	;0.91543	;74.8486	;48.4257	;15768.8
8	;2.29656	;0.793034	;70.5848	;46.4387	;13065.6
9	;1.63719	;0.811015	;66.7874	;47.6612	;10702.4
10	;1.6822	;0.695903	;60.0887	;46.1937	;8231.65
11	;1.8448	;0.600702	;58.2197	;46.8198	;7589.88
12	;1.8448	;0.600702	;58.2197	;46.8198	;7589.88
13	;1.83229	;0.570032	;58.2128	;46.8594	;7345.75
14	;1.79168	;0.550997	;58.1991	;46.801	;7113.42
15	;1.52287	;0.599502	;58.2042	;46.8319	;6872.66
16	;1.18125	;0.596347	;58.2348	;46.8902	;6141.6
17	;1.19275	;0.571964	;58.203	;46.8969	;5987.15
18	;1.1277	;0.576373	;58.227	;46.9567	;5892.23
19	;1.14061	;0.570282	;58.1924	;46.924	;5868.4
20	;1.13335	;0.555407	;58.1517	;46.8885	;5740.6
21	;1.1305	;0.550862	;58.2072	;46.8781	;5710.44
22	;1.12704	;0.55099	;58.2224	;46.8684	;5706.04
23	;1.12228	;0.550553	;57.7648	;46.8489	;5625.36
24	;1.12228	;0.550553	;57.7648	;46.8489	;5625.36
25	;1.12203	;0.550301	;57.7518	;46.8424	;5620.87
26	;1.1222	;0.5491	;57.7306	;46.8413	;5609.73
27	;1.12224	;0.548541	;57.7531	;46.8448	;5609.39
28	;1.1222	;0.548711	;57.7371	;46.8435	;5608.08
29	;1.1222	;0.548711	;57.7371	;46.8435	;5608.08
30	;1.12215	;0.548485	;57.7369	;46.8442	;5606.43
31	;1.12215	;0.548485	;57.7369	;46.8442	;5606.43
32	;1.12222	;0.548287	;57.7378	;46.8423	;5605.22
33	;1.12218	;0.548197	;57.737	;46.7938	;5601.95
34	;1.11901	;0.548414	;57.7393	;46.8058	;5598.02
35	;1.11444	;0.548321	;57.7386	;46.8122	;5588.4
36	;1.11444	;0.548321	;57.7386	;46.8122	;5588.4
37	;1.11459	;0.547221	;57.7385	;46.8084	;5580.85
38	;1.11481	;0.546274	;57.7385	;46.8374	;5576.17
39	;1.11516	;0.545737	;57.7361	;46.8463	;5573.24
40	;1.11529	;0.545648	;57.7367	;46.8488	;5573.11
41	;1.11529	;0.545662	;57.7354	;46.8475	;5572.95
42	;1.11528	;0.545615	;57.7349	;46.8144	;5570.88
43	;1.11523	;0.545624	;57.7351	;46.7837	;5569.33
44	;1.11523	;0.545624	;57.7351	;46.7837	;5569.33
45	;1.11499	;0.54563	;57.7352	;46.7849	;5568.95
46	;1.11484	;0.545632	;57.7352	;46.785	;5568.68
47	;1.11454	;0.545629	;57.7353	;46.785	;5568.07
48	;1.11457	;0.545628	;57.7354	;46.7807	;5567.92
49	;1.11433	;0.54563	;57.7353	;46.7771	;5567.26
50	;1.11433	;0.54563	;57.7353	;46.7771	;5567.26
51	;1.11429	;0.545631	;57.7354	;46.7771	;5567.2
52	;1.11429	;0.545631	;57.7354	;46.7771	;5567.2
53	;1.11429	;0.545631	;57.7354	;46.7771	;5567.2
54	;1.11429	;0.545631	;57.7354	;46.7771	;5567.2
55	;1.11429	;0.545631	;57.7354	;46.777	;5567.2
56	;1.11429	;0.545631	;57.7354	;46.777	;5567.2
57	;1.11429	;0.545631	;57.7354	;46.777	;5567.2
58	;1.11429	;0.545629	;57.7354	;46.777	;5567.19
59	;1.11429	;0.545626	;57.7354	;46.777	;5567.17
60	;1.11429	;0.545608	;57.7354	;46.777	;5567.05
61	;1.11429	;0.545601	;57.7354	;46.7771	;5566.99
62	;1.11429	;0.5456	;57.7354	;46.7771	;5566.99
63	;1.11429	;0.5456	;57.7354	;46.7771	;5566.99
64	;1.11429	;0.5456	;57.7354	;46.777	;5566.99
65	;1.11429	;0.545599	;57.7354	;46.777	;5566.99
66	;1.11429	;0.545599	;57.7354	;46.777	;5566.99
67	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
68	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
69	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
70	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
71	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
72	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
73	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
74	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
75	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
76	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
77	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
78	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
79	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
80	;1.11429	;0.545599	;57.7354	;46.777	;5566.98
81	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
82	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
83	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
84	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
85	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
86	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
87	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
88	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
89	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
90	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
91	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
92	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
93	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
94	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
95	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
96	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
97	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
98	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
99	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
100	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
101	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
102	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
103	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
104	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
105	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
106	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
107	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
108	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
109	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
110	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
111	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
112	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
113	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
114	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
115	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
116	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
117	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
118	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
119	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
120	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
121	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
122	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
123	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
124	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
125	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
126	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
127	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
128	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
129	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
130	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
131	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
132	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
133	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
134	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
135	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
136	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
137	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
138	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
139	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
140	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
141	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
142	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
143	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
144	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
145	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
146	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
147	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
148	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
149	;1.11429	;0.545599	;57.7353	;46.777	;5566.98
150	;1.11429	;0.545599	;57.7353	;46.777	;5566.98

1	;7.13735	;3.69053	;99.5333	;74.9319	;130476
2	;7.13735	;3.69053	;99.5333	;74.9319	;130476
3	;3.78667	;2.91618	;60.0978	;76.7322	;46026.1
4	;1.61071	;1.66761	;60.543	;79.6832	;20756
5	;1.44025	;1.68281	;60.1238	;79.7219	;20115.8
6	;1.46948	;0.68795	;60.6155	;78.3026	;10106.1
7	;1.46948	;0.68795	;60.6155	;78.3026	;10106.1
8	;1.46948	;0.68795	;60.6155	;78.3026	;10106.1
9	;1.46948	;0.68795	;60.6155	;78.3026	;10106.1
10	;1.46948	;0.68795	;60.6155	;78.3026	;10106.1
11	;1.31478	;0.627353	;60.8653	;76.6768	;8969.91
12	;1.31478	;0.627353	;60.8653	;76.6768	;8969.91
13	;1.31478	;0.627353	;60.8653	;76.6768	;8969.91
14	;1.29456	;0.595745	;62.053	;76.1453	;8826.21
15	;1.29456	;0.595745	;62.053	;76.1453	;8826.21
16	;1.29456	;0.595745	;62.053	;76.1453	;8826.21
17	;1.22116	;0.583467	;61.3997	;75.992	;8329.52
18	;1.22116	;0.583467	;61.3997	;75.992	;8329.52
19	;1.22116	;0.583467	;61.3997	;75.992	;8329.52
20	;1.22116	;0.583467	;61.3997	;75.992	;8329.52
21	;1.22116	;0.583467	;61.3997	;75.992	;8329.52
22	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
23	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
24	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
25	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
26	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
27	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
28	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
29	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
30	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
31	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
32	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
33	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
34	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
35	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
36	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
37	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
38	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
39	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
40	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
41	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
42	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
43	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
44	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
45	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
46	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
47	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
48	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
49	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
50	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
51	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
52	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
53	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
54	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
55	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
56	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
57	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
58	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
59	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
60	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
61	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
62	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
63	;1.2338	;0.585815	;61.5616	;74.3566	;8327.43
64	;1.22092	;0.586746	;61.592	;74.3052	;8293.8
65	;1.22092	;0.586746	;61.592	;74.3052	;8293.8
66	;1.22092	;0.586746	;61.592	;74.3052	;8293.8
67	;1.22092	;0.586746	;61.592	;74.3052	;8293.8
68	;1.22092	;0.586746	;61.592	;74.3052	;8293.8
69	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
70	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
71	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
72	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
73	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
74	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
75	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
76	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
77	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
78	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
79	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
80	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
81	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
82	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
83	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
84	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
85	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
86	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
87	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
88	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
89	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
90	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
91	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
92	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
93	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
94	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
95	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
96	;1.19128	;0.583326	;61.7159	;74.3177	;8186.97
97	;1.21273	;0.616433	;61.7606	;59.4481	;7677.15
98	;1.21273	;0.616433	;61.7606	;59.4481	;7677.15
99	;1.21273	;0.616433	;61.7606	;59.4481	;7677.15
100	;1.21273	;0.616433	;61.7606	;59.4481	;7677.15
101	;1.23578	;0.597868	;61.6291	;59.3951	;7561.54
102	;1.22387	;0.58649	;61.4219	;59.3503	;7397.58
103	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
104	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
105	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
106	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
107	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
108	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
109	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
110	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
111	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
112	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
113	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
114	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
115	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
116	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
117	;1.18988	;0.591418	;61.4869	;59.3399	;7355.61
118	;1.22442	;0.589419	;60.9008	;59.4947	;7340.8
119	;1.22442	;0.589419	;60.9008	;59.4947	;7340.8
120	;1.22442	;0.589419	;60.9008	;59.4947	;7340.8
121	;1.20557	;0.573858	;60.6254	;59.8401	;7138.79
122	;1.20557	;0.573858	;60.6254	;59.8401	;7138.79
123	;1.20557	;0.573858	;60.6254	;59.8401	;7138.79
124	;1.20557	;0.573858	;60.6254	;59.8401	;7138.79
125	;1.20557	;0.573858	;60.6254	;59.8401	;7138.79
126	;1.20557	;0.573858	;60.6254	;59.8401	;7138.79
127	;1.20557	;0.573858	;60.6254	;59.8401	;7138.79
128	;1.20557	;0.573858	;60.6254	;59.8401	;7138.79
129	;1.20557	;0.573858	;60.6254	;59.8401	;7138.79
130	;1.20557	;0.573858	;60.6254	;59.8401	;7138.79
131	;1.18586	;0.575088	;60.5787	;59.8431	;7087.38
132	;1.18586	;0.575088	;60.5787	;59.8431	;7087.38
133	;1.18586	;0.575088	;60.5787	;59.8431	;7087.38
134	;1.18586	;0.575088	;60.5787	;59.8431	;7087.38
135	;1.17336	;0.573012	;60.5943	;59.8611	;7040.82
136	;1.17336	;0.573012	;60.5943	;59.8611	;7040.82
137	;1.17336	;0.573012	;60.5943	;59.8611	;7040.82
138	;1.17336	;0.573012	;60.5943	;59.8611	;7040.82
139	;1.17336	;0.573012	;60.5943	;59.8611	;7040.82
140	;1.17336	;0.573012	;60.5943	;59.8611	;7040.82
141	;1.17336	;0.573012	;60.5943	;59.8611	;7040.82
142	;1.17336	;0.573012	;60.5943	;59.8611	;7040.82
