1	;0.064414	;0.491769	;11.9774	;0.0285199
39	;0.0534019	;0.386727	;10.7977	;0.014114
40	;0.0534019	;0.386727	;10.7977	;0.014114
41	;0.0532445	;0.388816	;10.7915	;0.0140999
42	;0.0532445	;0.388816	;10.7915	;0.0140999
43	;0.0532445	;0.388816	;10.7915	;0.0140999
44	;0.0531345	;0.376487	;10.8224	;0.0136293
45	;0.0531345	;0.376487	;10.8224	;0.0136293
46	;0.0519516	;0.379728	;10.7921	;0.0131102
47	;0.0519516	;0.379728	;10.7921	;0.0131102
48	;0.0519516	;0.379728	;10.7921	;0.0131102
49	;0.0519516	;0.379728	;10.7921	;0.0131102
50	;0.0519516	;0.379728	;10.7921	;0.0131102
51	;0.0519516	;0.379728	;10.7921	;0.0131102
52	;0.0519516	;0.379728	;10.7921	;0.0131102
53	;0.0517893	;0.366662	;10.8254	;0.0126129
54	;0.0517893	;0.366662	;10.8254	;0.0126129
55	;0.051389	;0.372088	;10.722	;0.0125009
56	;0.0510383	;0.371975	;10.6591	;0.0122662
57	;0.0510383	;0.371975	;10.6591	;0.0122662
58	;0.0510383	;0.371975	;10.6591	;0.0122662
59	;0.0510383	;0.371975	;10.6591	;0.0122662
60	;0.0510383	;0.371975	;10.6591	;0.0122662
61	;0.0512036	;0.367137	;10.6017	;0.0121299
62	;0.0512036	;0.367137	;10.6017	;0.0121299
63	;0.0512036	;0.367137	;10.6017	;0.0121299
64	;0.0512036	;0.367137	;10.6017	;0.0121299
65	;0.0512036	;0.367137	;10.6017	;0.0121299
66	;0.0512036	;0.367137	;10.6017	;0.0121299
67	;0.0506723	;0.360616	;11.0051	;0.0120421
68	;0.0506723	;0.360616	;11.0051	;0.0120421
69	;0.0506723	;0.360616	;11.0051	;0.0120421
70	;0.050479	;0.359337	;10.983	;0.0118877
71	;0.050479	;0.359337	;10.983	;0.0118877
72	;0.050479	;0.359337	;10.983	;0.0118877
73	;0.050479	;0.359337	;10.983	;0.0118877
74	;0.0504793	;0.358222	;10.9766	;0.0118451
75	;0.0504796	;0.358269	;10.9712	;0.0118419
76	;0.0504796	;0.358269	;10.9712	;0.0118419
77	;0.0504796	;0.358269	;10.9712	;0.0118419
78	;0.0504796	;0.358269	;10.9712	;0.0118419
79	;0.0504796	;0.358269	;10.9712	;0.0118419
80	;0.0504796	;0.358269	;10.9712	;0.0118419
81	;0.0504796	;0.358269	;10.9712	;0.0118419
82	;0.0503191	;0.351051	;10.7276	;0.0113131
83	;0.0503191	;0.351051	;10.7276	;0.0113131
84	;0.0502101	;0.350287	;10.7517	;0.0112609
85	;0.0502101	;0.350287	;10.7517	;0.0112609
86	;0.0502101	;0.350287	;10.7517	;0.0112609
87	;0.0502054	;0.350348	;10.7504	;0.0112597
88	;0.0502054	;0.350348	;10.7504	;0.0112597
89	;0.0502054	;0.350348	;10.7504	;0.0112597
90	;0.0502054	;0.350348	;10.7504	;0.0112597
91	;0.0502054	;0.350348	;10.7504	;0.0112597
92	;0.0502054	;0.350348	;10.7504	;0.0112597
93	;0.0502054	;0.350348	;10.7504	;0.0112597
94	;0.0502063	;0.34966	;10.6827	;0.0111783
95	;0.0501767	;0.35238	;10.4514	;0.0110467
96	;0.0501767	;0.35238	;10.4514	;0.0110467
97	;0.0501784	;0.352368	;10.4416	;0.0110384
98	;0.0501795	;0.352379	;10.4347	;0.0110331
99	;0.0501795	;0.352379	;10.4347	;0.0110331
100	;0.0501795	;0.352379	;10.4347	;0.0110331
101	;0.0501795	;0.352379	;10.4347	;0.0110331
102	;0.0501795	;0.352379	;10.4347	;0.0110331
103	;0.0501795	;0.352379	;10.4347	;0.0110331
104	;0.0501795	;0.352379	;10.4347	;0.0110331
105	;0.0501795	;0.352379	;10.4347	;0.0110331
106	;0.0501795	;0.352379	;10.4347	;0.0110331
107	;0.0501795	;0.352379	;10.4347	;0.0110331
108	;0.05018	;0.352199	;10.4306	;0.011024
109	;0.0501803	;0.352859	;10.4017	;0.0110191
110	;0.0501803	;0.352859	;10.4017	;0.0110191
111	;0.0501804	;0.352739	;10.3934	;0.0110081
112	;0.0501805	;0.352713	;10.3916	;0.0110057
113	;0.0501805	;0.352713	;10.3916	;0.0110057
114	;0.0501805	;0.352713	;10.3916	;0.0110057
115	;0.0501805	;0.352715	;10.3915	;0.0110056
116	;0.0501805	;0.352714	;10.3914	;0.0110056
117	;0.0501805	;0.352715	;10.3914	;0.0110056
118	;0.0501805	;0.352715	;10.3914	;0.0110056
119	;0.0501805	;0.352715	;10.3914	;0.0110056
120	;0.0501805	;0.352715	;10.3914	;0.0110056
121	;0.0501805	;0.352715	;10.3914	;0.0110056
122	;0.0501805	;0.352715	;10.3914	;0.0110056
123	;0.0501805	;0.352715	;10.3914	;0.0110056
124	;0.0501805	;0.352715	;10.3914	;0.0110056
125	;0.0501755	;0.352715	;10.3914	;0.0110034
126	;0.0501755	;0.352715	;10.3914	;0.0110034
127	;0.0501739	;0.352715	;10.3914	;0.0110027
128	;0.0501739	;0.352715	;10.3914	;0.0110027
129	;0.0501739	;0.352715	;10.3914	;0.0110027
130	;0.0501734	;0.352715	;10.3716	;0.010985
131	;0.0501732	;0.352715	;10.3677	;0.0109813
132	;0.0501732	;0.352715	;10.3677	;0.0109813
133	;0.0501732	;0.352715	;10.3677	;0.0109813
134	;0.0501732	;0.352715	;10.3677	;0.0109813
135	;0.0501594	;0.352593	;10.3683	;0.010972
136	;0.0501594	;0.352593	;10.3683	;0.010972
137	;0.0501594	;0.352593	;10.3683	;0.010972
138	;0.0501594	;0.352593	;10.3683	;0.010972
139	;0.0501594	;0.352593	;10.3683	;0.010972
140	;0.0501594	;0.352593	;10.3683	;0.010972
141	;0.0501594	;0.352593	;10.3683	;0.010972
142	;0.0501594	;0.352593	;10.3683	;0.010972
143	;0.0501594	;0.352593	;10.3683	;0.010972
144	;0.0501592	;0.35259	;10.3682	;0.0109719
145	;0.0501592	;0.35259	;10.3682	;0.0109719
146	;0.0501592	;0.352591	;10.3682	;0.0109718
147	;0.0501592	;0.352591	;10.3682	;0.0109718
148	;0.0501592	;0.352591	;10.3682	;0.0109718
149	;0.0501592	;0.352591	;10.3666	;0.0109704
150	;0.0501592	;0.352591	;10.3666	;0.0109704

1	;0.0635337	;0.690003	;10.7241	;0.0354396
2	;0.0580687	;0.524564	;11.4218	;0.0237407
3	;0.0548929	;0.463121	;11.2175	;0.0184448
4	;0.0541002	;0.40464	;10.8945	;0.0152711
5	;0.054154	;0.404964	;10.1413	;0.0144192
6	;0.0521753	;0.376887	;10.6244	;0.0129525
7	;0.0515583	;0.373002	;10.5449	;0.0124387
8	;0.0515968	;0.366142	;10.4746	;0.0121597
9	;0.0509763	;0.369046	;10.4574	;0.0119466
10	;0.050661	;0.363131	;10.3711	;0.0115297
11	;0.0506904	;0.358959	;10.3052	;0.0113497
12	;0.0505733	;0.358086	;10.2536	;0.0112227
13	;0.0504217	;0.357796	;10.2071	;0.0111041
14	;0.0504407	;0.357879	;10.1743	;0.0110852
15	;0.0504245	;0.35789	;10.1577	;0.0110632
16	;0.0503876	;0.357764	;10.1538	;0.0110397
17	;0.0503951	;0.357405	;10.1567	;0.0110345
18	;0.050395	;0.357653	;10.1417	;0.0110286
19	;0.0503927	;0.35766	;10.128	;0.0110152
20	;0.0503927	;0.35766	;10.128	;0.0110152
21	;0.0503914	;0.357661	;10.1215	;0.0110088
22	;0.0503887	;0.357694	;10.1149	;0.0110027
23	;0.0503845	;0.35771	;10.1081	;0.0109951
24	;0.0503808	;0.357705	;10.1061	;0.0109916
25	;0.0503797	;0.357696	;10.1066	;0.0109912
26	;0.0503778	;0.357649	;10.1072	;0.0109895
27	;0.0503778	;0.357649	;10.1072	;0.0109895
28	;0.0503765	;0.357648	;10.1074	;0.0109892
29	;0.0503769	;0.357648	;10.1071	;0.010989
30	;0.0503769	;0.357643	;10.1069	;0.0109887
31	;0.0503764	;0.357642	;10.1069	;0.0109884
32	;0.0503763	;0.357643	;10.1068	;0.0109883
33	;0.0503764	;0.357641	;10.1068	;0.0109883
34	;0.0503763	;0.357639	;10.1067	;0.0109881
35	;0.0503762	;0.357639	;10.1066	;0.010988
36	;0.0503761	;0.357637	;10.1067	;0.010988
37	;0.0503761	;0.357636	;10.1067	;0.010988
38	;0.0503761	;0.357636	;10.1067	;0.0109879
39	;0.0503761	;0.357636	;10.1067	;0.0109879
40	;0.0503761	;0.357636	;10.1067	;0.0109879
41	;0.0503761	;0.357636	;10.1067	;0.0109879
42	;0.0503761	;0.357636	;10.1067	;0.0109879
43	;0.0503761	;0.357636	;10.1067	;0.0109879
44	;0.050376	;0.357636	;10.1067	;0.0109879
45	;0.050376	;0.357636	;10.1067	;0.0109879
46	;0.050376	;0.357636	;10.1067	;0.0109879
47	;0.050376	;0.357636	;10.1067	;0.0109878
48	;0.050376	;0.357635	;10.1067	;0.0109878
49	;0.0503759	;0.357635	;10.1067	;0.0109878
50	;0.0503759	;0.357635	;10.1067	;0.0109878
51	;0.0503759	;0.357635	;10.1067	;0.0109878
52	;0.0503759	;0.357635	;10.1067	;0.0109878
53	;0.0503759	;0.357635	;10.1067	;0.0109878
54	;0.0503759	;0.357635	;10.1067	;0.0109878
55	;0.0503759	;0.357635	;10.1066	;0.0109878
56	;0.0503759	;0.357635	;10.1066	;0.0109878
57	;0.0503759	;0.357635	;10.1066	;0.0109878
58	;0.0503759	;0.357635	;10.1066	;0.0109878
59	;0.0503759	;0.357635	;10.1066	;0.0109878
60	;0.0503759	;0.357635	;10.1066	;0.0109878
61	;0.0503759	;0.357635	;10.1066	;0.0109878
62	;0.0503759	;0.357635	;10.1066	;0.0109878
63	;0.0503759	;0.357635	;10.1066	;0.0109878
64	;0.0503759	;0.357635	;10.1066	;0.0109878
65	;0.0503759	;0.357635	;10.1066	;0.0109878
66	;0.0503759	;0.357635	;10.1066	;0.0109878
67	;0.0503759	;0.357635	;10.1066	;0.0109878
68	;0.0503759	;0.357635	;10.1066	;0.0109878
69	;0.0503759	;0.357635	;10.1066	;0.0109878
70	;0.0503759	;0.357635	;10.1066	;0.0109878
71	;0.0503759	;0.357635	;10.1066	;0.0109878
72	;0.0503759	;0.357635	;10.1066	;0.0109878
73	;0.0503759	;0.357635	;10.1066	;0.0109878
74	;0.0503759	;0.357635	;10.1066	;0.0109878
75	;0.0503759	;0.357635	;10.1066	;0.0109878
76	;0.0503759	;0.357635	;10.1066	;0.0109878
77	;0.0503759	;0.357635	;10.1066	;0.0109878
78	;0.0503759	;0.357635	;10.1066	;0.0109878
79	;0.0503759	;0.357635	;10.1066	;0.0109878
80	;0.0503759	;0.357635	;10.1066	;0.0109878
81	;0.0503759	;0.357635	;10.1066	;0.0109878
82	;0.0503759	;0.357635	;10.1066	;0.0109878
83	;0.0503759	;0.357635	;10.1066	;0.0109878
84	;0.0503759	;0.357635	;10.1066	;0.0109878
85	;0.0503759	;0.357635	;10.1066	;0.0109878
86	;0.0503759	;0.357635	;10.1066	;0.0109878
87	;0.0503759	;0.357635	;10.1066	;0.0109878
88	;0.0503759	;0.357635	;10.1066	;0.0109878
89	;0.0503759	;0.357635	;10.1066	;0.0109878
90	;0.0503759	;0.357635	;10.1066	;0.0109878
91	;0.0503759	;0.357635	;10.1066	;0.0109878
92	;0.0503759	;0.357635	;10.1066	;0.0109878
93	;0.0503759	;0.357635	;10.1066	;0.0109878
94	;0.0503759	;0.357635	;10.1066	;0.0109878
95	;0.0503759	;0.357635	;10.1066	;0.0109878
96	;0.0503759	;0.357635	;10.1066	;0.0109878
97	;0.0503759	;0.357635	;10.1066	;0.0109878
98	;0.0503759	;0.357635	;10.1066	;0.0109878
99	;0.0503759	;0.357635	;10.1066	;0.0109878
100	;0.0503759	;0.357635	;10.1066	;0.0109878
101	;0.0503759	;0.357635	;10.1066	;0.0109878
102	;0.0503759	;0.357635	;10.1066	;0.0109878
103	;0.0503759	;0.357635	;10.1066	;0.0109878
104	;0.0503759	;0.357635	;10.1066	;0.0109878
105	;0.0503759	;0.357635	;10.1066	;0.0109878
106	;0.0503759	;0.357635	;10.1066	;0.0109878
107	;0.0503759	;0.357635	;10.1066	;0.0109878
108	;0.0503759	;0.357635	;10.1066	;0.0109878
109	;0.0503759	;0.357635	;10.1066	;0.0109878
110	;0.0503759	;0.357635	;10.1066	;0.0109878
111	;0.0503759	;0.357635	;10.1066	;0.0109878
112	;0.0503759	;0.357635	;10.1066	;0.0109878
113	;0.0503759	;0.357635	;10.1066	;0.0109878
114	;0.0503759	;0.357635	;10.1066	;0.0109878
115	;0.0503759	;0.357635	;10.1066	;0.0109878
116	;0.0503759	;0.357635	;10.1066	;0.0109878
117	;0.0503759	;0.357635	;10.1066	;0.0109878
118	;0.0503759	;0.357635	;10.1066	;0.0109878
119	;0.0503759	;0.357635	;10.1066	;0.0109878
120	;0.0503759	;0.357635	;10.1066	;0.0109878
121	;0.0503759	;0.357635	;10.1066	;0.0109878
122	;0.0503759	;0.357635	;10.1066	;0.0109878
123	;0.0503759	;0.357635	;10.1066	;0.0109878
124	;0.0503759	;0.357635	;10.1066	;0.0109878
125	;0.0503759	;0.357635	;10.1066	;0.0109878
126	;0.0503759	;0.357635	;10.1066	;0.0109878
127	;0.0503759	;0.357635	;10.1066	;0.0109878
128	;0.0503759	;0.357635	;10.1066	;0.0109878
129	;0.0503759	;0.357635	;10.1066	;0.0109878
130	;0.0503759	;0.357635	;10.1066	;0.0109878
131	;0.0503759	;0.357635	;10.1066	;0.0109878
132	;0.0503759	;0.357635	;10.1066	;0.0109878
133	;0.0503759	;0.357635	;10.1066	;0.0109878
134	;0.0503759	;0.357635	;10.1066	;0.0109878
135	;0.0503759	;0.357635	;10.1066	;0.0109878
136	;0.0503759	;0.357635	;10.1066	;0.0109878
137	;0.0503759	;0.357635	;10.1066	;0.0109878
138	;0.0503759	;0.357635	;10.1066	;0.0109878
139	;0.0503759	;0.357635	;10.1066	;0.0109878
140	;0.0503759	;0.357635	;10.1066	;0.0109878
141	;0.0503759	;0.357635	;10.1066	;0.0109878
142	;0.0503759	;0.357635	;10.1066	;0.0109878
143	;0.0503759	;0.357635	;10.1066	;0.0109878
144	;0.0503759	;0.357635	;10.1066	;0.0109878
145	;0.0503759	;0.357635	;10.1066	;0.0109878
146	;0.0503759	;0.357635	;10.1066	;0.0109878
147	;0.0503759	;0.357635	;10.1066	;0.0109878
148	;0.0503759	;0.357635	;10.1066	;0.0109878
149	;0.0503759	;0.357635	;10.1066	;0.0109878
150	;0.0503759	;0.357635	;10.1066	;0.0109878

1	;0.0574814	;0.505153	;11.4499	;0.0224489
2	;0.0545248	;0.436186	;11.8537	;0.017965
3	;0.0545248	;0.436186	;11.8537	;0.017965
4	;0.0545908	;0.388169	;11.9289	;0.016113
5	;0.0545908	;0.388169	;11.9289	;0.016113
6	;0.0510727	;0.361252	;11.854	;0.0130545
7	;0.0507258	;0.346828	;11.7305	;0.0122535
8	;0.0507258	;0.346828	;11.7305	;0.0122535
9	;0.0505833	;0.342304	;11.7362	;0.0120307
10	;0.0505833	;0.342304	;11.7362	;0.0120307
11	;0.0505185	;0.342135	;11.7361	;0.0119939
12	;0.0505185	;0.342135	;11.7361	;0.0119939
13	;0.0500179	;0.340399	;11.7457	;0.011706
14	;0.0500179	;0.340399	;11.7457	;0.011706
15	;0.050066	;0.339834	;11.7225	;0.0116892
16	;0.050066	;0.339834	;11.7225	;0.0116892
17	;0.050066	;0.339834	;11.7225	;0.0116892
18	;0.050066	;0.339834	;11.7225	;0.0116892
19	;0.0501454	;0.339686	;11.6821	;0.0116867
20	;0.0500997	;0.339441	;11.698	;0.0116706
21	;0.0500997	;0.339441	;11.698	;0.0116706
22	;0.0500391	;0.339608	;11.7001	;0.0116498
23	;0.0500391	;0.339608	;11.7001	;0.0116498
24	;0.0500391	;0.339608	;11.7001	;0.0116498
25	;0.0500548	;0.340004	;11.6512	;0.0116291
26	;0.0500521	;0.339155	;11.6333	;0.0115836
27	;0.0500521	;0.339155	;11.6333	;0.0115836
28	;0.0500521	;0.339155	;11.6333	;0.0115836
29	;0.0500521	;0.339155	;11.6333	;0.0115836
30	;0.0500066	;0.339081	;11.6343	;0.0115609
31	;0.0500066	;0.339081	;11.6343	;0.0115609
32	;0.0500066	;0.339081	;11.6343	;0.0115609
33	;0.0500066	;0.339081	;11.6343	;0.0115609
34	;0.0500066	;0.339081	;11.6343	;0.0115609
35	;0.0500066	;0.339081	;11.6343	;0.0115609
36	;0.0500018	;0.339084	;11.6346	;0.011559
37	;0.0500018	;0.339084	;11.6346	;0.011559
38	;0.0500018	;0.339084	;11.6346	;0.011559
39	;0.0500018	;0.339084	;11.6346	;0.011559
40	;0.0500027	;0.339117	;11.632	;0.0115584
41	;0.0500027	;0.339117	;11.632	;0.0115584
42	;0.0500177	;0.33797	;11.6498	;0.0115412
43	;0.0500177	;0.33797	;11.6498	;0.0115412
44	;0.0500177	;0.33797	;11.6498	;0.0115412
45	;0.0500177	;0.33797	;11.6498	;0.0115412
46	;0.0500177	;0.33797	;11.6498	;0.0115412
47	;0.0500112	;0.337737	;11.6603	;0.0115391
48	;0.0500112	;0.337737	;11.6603	;0.0115391
49	;0.0500112	;0.337737	;11.6603	;0.0115391
50	;0.0500112	;0.337737	;11.6603	;0.0115391
51	;0.0500112	;0.337737	;11.6603	;0.0115391
52	;0.0500112	;0.337737	;11.6603	;0.0115391
53	;0.0500112	;0.337737	;11.6603	;0.0115391
54	;0.0500112	;0.337737	;11.6603	;0.0115391
55	;0.0500112	;0.337737	;11.6603	;0.0115391
56	;0.0500112	;0.337737	;11.6603	;0.0115391
57	;0.0500112	;0.337737	;11.6603	;0.0115391
58	;0.0500112	;0.337737	;11.6603	;0.0115391
59	;0.0500112	;0.337737	;11.6603	;0.0115391
60	;0.0500039	;0.339758	;11.5763	;0.0115335
61	;0.0500197	;0.340423	;11.4641	;0.0114677
62	;0.0500197	;0.340423	;11.4641	;0.0114677
63	;0.0500197	;0.340423	;11.4641	;0.0114677
64	;0.0500197	;0.340423	;11.4641	;0.0114677
65	;0.0500197	;0.340423	;11.4641	;0.0114677
66	;0.0500197	;0.340423	;11.4641	;0.0114677
67	;0.0500197	;0.340423	;11.4641	;0.0114677
68	;0.0500197	;0.340423	;11.4641	;0.0114677
69	;0.0500197	;0.340423	;11.4641	;0.0114677
70	;0.0500197	;0.340423	;11.4641	;0.0114677
71	;0.0500197	;0.340423	;11.4641	;0.0114677
72	;0.0500197	;0.340423	;11.4641	;0.0114677
73	;0.0500197	;0.340423	;11.4641	;0.0114677
74	;0.0500197	;0.340423	;11.4641	;0.0114677
75	;0.0500197	;0.340423	;11.4641	;0.0114677
76	;0.0500197	;0.340423	;11.4641	;0.0114677
77	;0.0500197	;0.340423	;11.4641	;0.0114677
78	;0.0500197	;0.340423	;11.4641	;0.0114677
79	;0.0500197	;0.340423	;11.4641	;0.0114677
80	;0.0500197	;0.340423	;11.4641	;0.0114677
81	;0.0500197	;0.340423	;11.4641	;0.0114677
82	;0.0500197	;0.340423	;11.4641	;0.0114677
83	;0.0500197	;0.340423	;11.4641	;0.0114677
84	;0.0500197	;0.340423	;11.4641	;0.0114677
85	;0.0500197	;0.340423	;11.4641	;0.0114677
86	;0.0500197	;0.340423	;11.4641	;0.0114677
87	;0.0500197	;0.340423	;11.4641	;0.0114677
88	;0.0500197	;0.340423	;11.4641	;0.0114677
89	;0.0500029	;0.340409	;11.4635	;0.0114591
90	;0.0500029	;0.340409	;11.4635	;0.0114591
91	;0.0500029	;0.340409	;11.4635	;0.0114591
92	;0.0500029	;0.340409	;11.4635	;0.0114591
93	;0.0500029	;0.340409	;11.4635	;0.0114591
94	;0.0500029	;0.340409	;11.4635	;0.0114591
95	;0.0500029	;0.340409	;11.4635	;0.0114591
96	;0.0500029	;0.340409	;11.4635	;0.0114591
97	;0.0500029	;0.340409	;11.4635	;0.0114591
98	;0.0500029	;0.340409	;11.4635	;0.0114591
99	;0.0500029	;0.340409	;11.4635	;0.0114591
100	;0.0500029	;0.340409	;11.4635	;0.0114591
101	;0.0500029	;0.340409	;11.4635	;0.0114591
102	;0.0500029	;0.340409	;11.4635	;0.0114591
103	;0.0500029	;0.340409	;11.4635	;0.0114591
104	;0.0500029	;0.340409	;11.4635	;0.0114591
105	;0.0500029	;0.340409	;11.4635	;0.0114591
106	;0.0500029	;0.340409	;11.4635	;0.0114591
107	;0.0500029	;0.340409	;11.4635	;0.0114591
108	;0.0500029	;0.340409	;11.4635	;0.0114591
109	;0.0500029	;0.340409	;11.4635	;0.0114591
110	;0.0500029	;0.340409	;11.4635	;0.0114591
111	;0.0500029	;0.340409	;11.4635	;0.0114591
112	;0.0500029	;0.340409	;11.4635	;0.0114591
113	;0.0500029	;0.340409	;11.4635	;0.0114591
114	;0.0500029	;0.340409	;11.4635	;0.0114591
115	;0.0500029	;0.340409	;11.4635	;0.0114591
116	;0.0500029	;0.340409	;11.4635	;0.0114591
117	;0.0500017	;0.340412	;11.4634	;0.0114586
118	;0.0500003	;0.340406	;11.4637	;0.0114579
119	;0.0500003	;0.340406	;11.4637	;0.0114579
120	;0.0500001	;0.340256	;11.4577	;0.0114477
121	;0.0500001	;0.340256	;11.4577	;0.0114477
122	;0.0500001	;0.340256	;11.4577	;0.0114477
123	;0.0500001	;0.340256	;11.4577	;0.0114477
124	;0.0500001	;0.340256	;11.4577	;0.0114477
125	;0.0500001	;0.340256	;11.4577	;0.0114477
126	;0.0500001	;0.340256	;11.4577	;0.0114477
127	;0.0500001	;0.340256	;11.4577	;0.0114477
128	;0.0500001	;0.340256	;11.4577	;0.0114477
129	;0.0500085	;0.33996	;11.4634	;0.0114465
130	;0.0500085	;0.33996	;11.4634	;0.0114465
131	;0.0500085	;0.33996	;11.4634	;0.0114465
132	;0.0500085	;0.33996	;11.4634	;0.0114465
133	;0.0500085	;0.33996	;11.4634	;0.0114465
134	;0.0500085	;0.33996	;11.4634	;0.0114465
135	;0.0500085	;0.33996	;11.4634	;0.0114465
136	;0.0500085	;0.33996	;11.4634	;0.0114465
137	;0.0500085	;0.33996	;11.4634	;0.0114465
138	;0.0500085	;0.33996	;11.4634	;0.0114465
139	;0.0500085	;0.33996	;11.4634	;0.0114465
140	;0.0500085	;0.33996	;11.4634	;0.0114465
141	;0.0500085	;0.33996	;11.4634	;0.0114465
142	;0.0500085	;0.33996	;11.4634	;0.0114465
143	;0.0500085	;0.33996	;11.4634	;0.0114465
144	;0.0500085	;0.33996	;11.4634	;0.0114465
145	;0.0500085	;0.33996	;11.4634	;0.0114465
146	;0.0500085	;0.33996	;11.4634	;0.0114465
147	;0.0500085	;0.33996	;11.4634	;0.0114465
148	;0.0500085	;0.33996	;11.4634	;0.0114465
149	;0.0500085	;0.33996	;11.4634	;0.0114465
150	;0.0500085	;0.33996	;11.4634	;0.0114465

1	;0.0629726	;0.53399	;10.6064	;0.026695
2	;0.0629726	;0.53399	;10.6064	;0.026695
3	;0.0596406	;0.539425	;11.4938	;0.0258911
4	;0.0573181	;0.540792	;10.9046	;0.0229276
5	;0.0567708	;0.481959	;11.6079	;0.0211373
6	;0.0528628	;0.405913	;11.7982	;0.0156516
7	;0.050629	;0.357859	;11.6669	;0.0125366
8	;0.050629	;0.357859	;11.6669	;0.0125366
9	;0.050629	;0.357859	;11.6669	;0.0125366
10	;0.050629	;0.357859	;11.6669	;0.0125366
11	;0.050629	;0.357859	;11.6669	;0.0125366
12	;0.050629	;0.357859	;11.6669	;0.0125366
13	;0.0505706	;0.357412	;11.2461	;0.0121075
14	;0.0506977	;0.362551	;10.6242	;0.0117638
15	;0.0506977	;0.362551	;10.6242	;0.0117638
16	;0.0503299	;0.352573	;10.8838	;0.0115065
17	;0.0503299	;0.352573	;10.8838	;0.0115065
18	;0.0503299	;0.352573	;10.8838	;0.0115065
19	;0.0503299	;0.352573	;10.8838	;0.0115065
20	;0.0503299	;0.352573	;10.8838	;0.0115065
21	;0.0503299	;0.352573	;10.8838	;0.0115065
22	;0.0501031	;0.348755	;10.8515	;0.0112513
23	;0.0501031	;0.348755	;10.8515	;0.0112513
24	;0.0501031	;0.348755	;10.8515	;0.0112513
25	;0.0501031	;0.348755	;10.8515	;0.0112513
26	;0.0501031	;0.348755	;10.8515	;0.0112513
27	;0.0501031	;0.348755	;10.8515	;0.0112513
28	;0.0501031	;0.348755	;10.8515	;0.0112513
29	;0.0501031	;0.348755	;10.8515	;0.0112513
30	;0.0501031	;0.348755	;10.8515	;0.0112513
31	;0.0501031	;0.348755	;10.8515	;0.0112513
32	;0.0501031	;0.348755	;10.8515	;0.0112513
33	;0.0501031	;0.348755	;10.8515	;0.0112513
34	;0.0501031	;0.348755	;10.8515	;0.0112513
35	;0.0500936	;0.347538	;10.8551	;0.0112109
36	;0.0500936	;0.347538	;10.8551	;0.0112109
37	;0.0500936	;0.347538	;10.8551	;0.0112109
38	;0.0500936	;0.347538	;10.8551	;0.0112109
39	;0.0500936	;0.347538	;10.8551	;0.0112109
40	;0.0500936	;0.347538	;10.8551	;0.0112109
41	;0.0500936	;0.347538	;10.8551	;0.0112109
42	;0.0500936	;0.347538	;10.8551	;0.0112109
43	;0.0500936	;0.347538	;10.8551	;0.0112109
44	;0.0500936	;0.347538	;10.8551	;0.0112109
45	;0.0500936	;0.347538	;10.8551	;0.0112109
46	;0.0500936	;0.347538	;10.8551	;0.0112109
47	;0.0500936	;0.347538	;10.8551	;0.0112109
48	;0.0500936	;0.347538	;10.8551	;0.0112109
49	;0.0500936	;0.347538	;10.8551	;0.0112109
50	;0.0500936	;0.347538	;10.8551	;0.0112109
51	;0.0500936	;0.347538	;10.8551	;0.0112109
