1	;0.840113	;1.53149	;4.0505	;1.18433	;4.77859
33	;0.16887	;5.11692	;8.68065	;0.25758	;2.21764
34	;0.169025	;5.1153	;8.73862	;0.248989	;2.16241
35	;0.169025	;5.1153	;8.73862	;0.248989	;2.16241
36	;0.169025	;5.1153	;8.73862	;0.248989	;2.16241
37	;0.209776	;5.14357	;8.83521	;0.229756	;2.11962
38	;0.209776	;5.14357	;8.83521	;0.229756	;2.11962
39	;0.209776	;5.14357	;8.83521	;0.229756	;2.11962
40	;0.209776	;5.14357	;8.83521	;0.229756	;2.11962
41	;0.209776	;5.14357	;8.83521	;0.229756	;2.11962
42	;0.188621	;5.46487	;8.81654	;0.222527	;2.05203
43	;0.188621	;5.46487	;8.81654	;0.222527	;2.05203
44	;0.188621	;5.46487	;8.81654	;0.222527	;2.05203
45	;0.186107	;5.47792	;8.81392	;0.222697	;2.04894
46	;0.186107	;5.47792	;8.81392	;0.222697	;2.04894
47	;0.186107	;5.47792	;8.81392	;0.222697	;2.04894
48	;0.185632	;5.3611	;8.84904	;0.222738	;2.04001
49	;0.185632	;5.3611	;8.84904	;0.222738	;2.04001
50	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
51	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
52	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
53	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
54	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
55	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
56	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
57	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
58	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
59	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
60	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
61	;0.152557	;5.41735	;8.85403	;0.224501	;1.99617
62	;0.163302	;5.41567	;8.83455	;0.218713	;1.96442
63	;0.163302	;5.41567	;8.83455	;0.218713	;1.96442
64	;0.163302	;5.41567	;8.83455	;0.218713	;1.96442
65	;0.163302	;5.41567	;8.83455	;0.218713	;1.96442
66	;0.163302	;5.41567	;8.83455	;0.218713	;1.96442
67	;0.163302	;5.41567	;8.83455	;0.218713	;1.96442
68	;0.163302	;5.41567	;8.83455	;0.218713	;1.96442
69	;0.163508	;5.44264	;8.83451	;0.216984	;1.95383
70	;0.163508	;5.44264	;8.83451	;0.216984	;1.95383
71	;0.163641	;5.44088	;8.83453	;0.216849	;1.95276
72	;0.163641	;5.44088	;8.83453	;0.216849	;1.95276
73	;0.163636	;5.44086	;8.8345	;0.216625	;1.95089
74	;0.163636	;5.44086	;8.8345	;0.216625	;1.95089
75	;0.163636	;5.44086	;8.8345	;0.216625	;1.95089
76	;0.163636	;5.44086	;8.8345	;0.216625	;1.95089
77	;0.160851	;5.44205	;8.84188	;0.216674	;1.94751
78	;0.160851	;5.44205	;8.84188	;0.216674	;1.94751
79	;0.14634	;5.4366	;9.19356	;0.209836	;1.93255
80	;0.14634	;5.4366	;9.19356	;0.209836	;1.93255
81	;0.14634	;5.4366	;9.19356	;0.209836	;1.93255
82	;0.152244	;5.43627	;9.10255	;0.208808	;1.91649
83	;0.158949	;5.88475	;9.81517	;0.178397	;1.83935
84	;0.158949	;5.88475	;9.81517	;0.178397	;1.83935
85	;0.153336	;5.70697	;9.89577	;0.178626	;1.82414
86	;0.16906	;5.40614	;9.91638	;0.177896	;1.81769
87	;0.157767	;4.9827	;9.91812	;0.174771	;1.72005
88	;0.155473	;5.09568	;9.90914	;0.172329	;1.70486
89	;0.155473	;5.09568	;9.90914	;0.172329	;1.70486
90	;0.155473	;5.09568	;9.90914	;0.172329	;1.70486
91	;0.158803	;4.98014	;9.94245	;0.170736	;1.68882
92	;0.148058	;5.00187	;9.95784	;0.170726	;1.67529
93	;0.148058	;5.00187	;9.95784	;0.170726	;1.67529
94	;0.148058	;5.00187	;9.95784	;0.170726	;1.67529
95	;0.148058	;5.00187	;9.95784	;0.170726	;1.67529
96	;0.148319	;4.999	;9.99215	;0.169525	;1.6698
97	;0.148179	;4.95125	;9.96379	;0.170222	;1.66646
98	;0.148179	;4.95125	;9.96379	;0.170222	;1.66646
99	;0.148179	;4.95125	;9.96379	;0.170222	;1.66646
100	;0.147572	;4.92752	;9.96076	;0.17021	;1.6624
101	;0.147572	;4.92752	;9.96076	;0.17021	;1.6624
102	;0.147572	;4.92752	;9.96076	;0.17021	;1.6624
103	;0.147442	;4.92757	;9.96076	;0.170211	;1.66221
104	;0.147442	;4.92757	;9.96076	;0.170211	;1.66221
105	;0.147442	;4.92757	;9.96076	;0.170211	;1.66221
106	;0.147443	;4.92757	;9.96076	;0.170211	;1.6622
107	;0.147443	;4.92757	;9.96076	;0.170211	;1.6622
108	;0.147443	;4.92757	;9.96076	;0.170211	;1.6622
109	;0.147443	;4.92757	;9.96076	;0.170211	;1.6622
110	;0.147443	;4.92293	;9.96076	;0.170196	;1.66158
111	;0.147443	;4.92293	;9.96076	;0.170196	;1.66158
112	;0.147443	;4.92293	;9.96076	;0.170196	;1.66158
113	;0.147443	;4.92293	;9.96076	;0.170196	;1.66158
114	;0.147425	;4.92288	;9.96077	;0.170196	;1.66155
115	;0.147425	;4.92288	;9.96077	;0.170196	;1.66155
116	;0.148121	;4.92288	;9.96077	;0.16941	;1.65554
117	;0.148121	;4.92288	;9.96077	;0.16941	;1.65554
118	;0.148121	;4.92288	;9.96077	;0.16941	;1.65554
119	;0.148121	;4.92288	;9.96077	;0.16941	;1.65554
120	;0.148121	;4.92288	;9.96077	;0.16941	;1.65554
121	;0.14808	;4.89696	;9.96077	;0.169391	;1.65257
122	;0.14808	;4.89696	;9.96077	;0.169391	;1.65257
123	;0.148088	;4.89633	;9.96077	;0.169387	;1.65248
124	;0.148088	;4.89633	;9.96077	;0.169387	;1.65248
125	;0.148088	;4.89633	;9.96077	;0.169387	;1.65248
126	;0.148088	;4.89629	;9.95967	;0.169381	;1.65225
127	;0.148088	;4.89629	;9.95967	;0.169381	;1.65225
128	;0.148088	;4.89634	;9.96073	;0.169347	;1.65211
129	;0.148088	;4.89629	;9.96067	;0.169331	;1.65195
130	;0.148088	;4.89624	;9.96145	;0.169316	;1.65194
131	;0.148088	;4.89624	;9.96145	;0.169316	;1.65194
132	;0.148088	;4.89624	;9.96145	;0.169316	;1.65194
133	;0.148088	;4.89624	;9.96145	;0.169316	;1.65194
134	;0.148088	;4.89624	;9.96145	;0.169316	;1.65194
135	;0.148088	;4.89624	;9.96145	;0.169316	;1.65194
136	;0.148088	;4.89624	;9.96145	;0.169316	;1.65194
137	;0.148088	;4.89625	;9.96145	;0.169313	;1.6519
138	;0.148088	;4.89625	;9.96145	;0.169312	;1.65189
139	;0.148088	;4.89625	;9.96145	;0.169312	;1.65189
140	;0.148088	;4.89625	;9.96145	;0.169312	;1.65189
141	;0.148088	;4.89625	;9.96145	;0.169312	;1.65189
142	;0.148088	;4.89625	;9.96145	;0.169312	;1.65189
143	;0.148088	;4.89625	;9.96145	;0.169312	;1.65189
144	;0.148088	;4.89622	;9.96145	;0.169311	;1.65188
145	;0.148088	;4.89619	;9.96145	;0.169309	;1.65187
146	;0.148088	;4.89619	;9.96144	;0.169306	;1.65184
147	;0.148083	;4.89619	;9.96144	;0.169304	;1.65181
148	;0.148083	;4.89619	;9.96144	;0.169304	;1.65181
149	;0.148081	;4.89619	;9.96144	;0.169304	;1.6518
150	;0.148082	;4.89619	;9.96144	;0.169303	;1.6518

1	;0.202878	;6.87137	;7.10628	;0.353509	;2.83492
2	;0.202878	;6.87137	;7.10628	;0.353509	;2.83492
3	;0.210604	;6.03236	;7.263	;0.332768	;2.62487
4	;0.210604	;6.03236	;7.263	;0.332768	;2.62487
5	;0.22865	;4.63241	;7.22334	;0.342819	;2.48731
6	;0.231875	;4.48616	;7.29059	;0.318061	;2.32877
7	;0.243768	;4.38814	;7.33514	;0.313049	;2.31946
8	;0.230525	;4.31128	;7.38075	;0.317361	;2.31662
9	;0.220078	;4.26174	;7.57803	;0.299305	;2.22075
10	;0.2187	;4.28394	;7.72306	;0.285528	;2.1661
11	;0.214231	;4.26284	;7.70531	;0.284143	;2.1398
12	;0.213126	;4.13171	;7.70909	;0.283987	;2.11707
13	;0.211573	;4.09916	;7.7072	;0.283031	;2.10214
14	;0.21249	;4.10865	;7.72187	;0.282007	;2.1021
15	;0.212073	;4.06588	;7.73915	;0.282081	;2.09942
16	;0.212081	;4.05871	;7.73656	;0.28144	;2.09338
17	;0.212262	;4.05934	;7.75253	;0.280108	;2.08876
18	;0.21216	;4.04216	;7.76327	;0.279706	;2.08582
19	;0.212382	;4.03564	;7.76768	;0.278579	;2.0787
20	;0.212524	;4.03841	;7.78116	;0.277685	;2.07663
21	;0.212348	;4.03547	;7.79283	;0.276993	;2.07398
22	;0.212192	;4.01975	;7.793	;0.276789	;2.06993
23	;0.212176	;4.00724	;7.79214	;0.276777	;2.06769
24	;0.212697	;4.01015	;7.83682	;0.274742	;2.06601
25	;0.212307	;3.99983	;7.83293	;0.274005	;2.05777
26	;0.212307	;3.99983	;7.83293	;0.274005	;2.05777
27	;0.212351	;3.97997	;7.83395	;0.274018	;2.05514
28	;0.212364	;3.97936	;7.83416	;0.274013	;2.05509
29	;0.21241	;3.97592	;7.83413	;0.274011	;2.05463
30	;0.212322	;3.97803	;7.83412	;0.273762	;2.0531
31	;0.212322	;3.97803	;7.83412	;0.273762	;2.0531
32	;0.212322	;3.97803	;7.83412	;0.273762	;2.0531
33	;0.212322	;3.97803	;7.83412	;0.273762	;2.0531
34	;0.212322	;3.97805	;7.83406	;0.273749	;2.05299
35	;0.212322	;3.97805	;7.83408	;0.273745	;2.05298
36	;0.212322	;3.97806	;7.83401	;0.273742	;2.05294
37	;0.212322	;3.97794	;7.83395	;0.273747	;2.05294
38	;0.212322	;3.97794	;7.83395	;0.273747	;2.05294
39	;0.212322	;3.9779	;7.83393	;0.273747	;2.05293
40	;0.212322	;3.97789	;7.83394	;0.273747	;2.05293
41	;0.212322	;3.97788	;7.83395	;0.273747	;2.05293
42	;0.212322	;3.97788	;7.83395	;0.273746	;2.05293
43	;0.212322	;3.97783	;7.83395	;0.273746	;2.05292
44	;0.212322	;3.97783	;7.83395	;0.273746	;2.05292
45	;0.212322	;3.97781	;7.83395	;0.273746	;2.05291
46	;0.212322	;3.97781	;7.83395	;0.273746	;2.05291
47	;0.212322	;3.97781	;7.83395	;0.273746	;2.05291
48	;0.212322	;3.97781	;7.83395	;0.273746	;2.05291
49	;0.212322	;3.97781	;7.83395	;0.273746	;2.05291
50	;0.212322	;3.97781	;7.83395	;0.273746	;2.05291
51	;0.212322	;3.97781	;7.83395	;0.273746	;2.05291
52	;0.212322	;3.97781	;7.83395	;0.273746	;2.05291
53	;0.212322	;3.97781	;7.83395	;0.273746	;2.05291
54	;0.212322	;3.97781	;7.83395	;0.273746	;2.05291
55	;0.212322	;3.97781	;7.85599	;0.272553	;2.05002
56	;0.212322	;3.97781	;7.87207	;0.271829	;2.04888
57	;0.212377	;3.97781	;7.88068	;0.270646	;2.04295
58	;0.212385	;3.97781	;7.9044	;0.269264	;2.03907
59	;0.212385	;3.97781	;7.92661	;0.267692	;2.03346
60	;0.212292	;3.90919	;7.96056	;0.26671	;2.02397
61	;0.212348	;3.91113	;7.96291	;0.265466	;2.01637
62	;0.212324	;3.90082	;7.99703	;0.264006	;2.0125
63	;0.21234	;3.88469	;8.00887	;0.262613	;2.00318
64	;0.212338	;3.88587	;8.02185	;0.261608	;1.99936
65	;0.212332	;3.88808	;8.03493	;0.260521	;1.9951
66	;0.212325	;3.86646	;8.03956	;0.260139	;1.99024
67	;0.212329	;3.87204	;8.0469	;0.259568	;1.98877
68	;0.212318	;3.86286	;8.04896	;0.259458	;1.98707
69	;0.212323	;3.86165	;8.0467	;0.259479	;1.98654
70	;0.21232	;3.8607	;8.04671	;0.259468	;1.98632
71	;0.212322	;3.86045	;8.04671	;0.259473	;1.98632
72	;0.212326	;3.86064	;8.04752	;0.259428	;1.98622
73	;0.212687	;3.85156	;8.04778	;0.259463	;1.98581
74	;0.21271	;3.85132	;8.04781	;0.259457	;1.98578
75	;0.212854	;3.84795	;8.04781	;0.25945	;1.98549
76	;0.212951	;3.84575	;8.04777	;0.259446	;1.9853
77	;0.212938	;3.84576	;8.0478	;0.259436	;1.98522
78	;0.212943	;3.84597	;8.0478	;0.259413	;1.9851
79	;0.21295	;3.84613	;8.13653	;0.25586	;1.98007
80	;0.212948	;3.84629	;8.13875	;0.253683	;1.96537
81	;0.212946	;3.84602	;8.20072	;0.251247	;1.96167
82	;0.212973	;3.84549	;8.33606	;0.24455	;1.94291
83	;0.212947	;3.8458	;8.41706	;0.237164	;1.90653
84	;0.212948	;3.84543	;8.52857	;0.231039	;1.88434
85	;0.212944	;3.8454	;8.59989	;0.227331	;1.8711
86	;0.212943	;3.85167	;8.77272	;0.222672	;1.87064
87	;0.212875	;3.85039	;8.83463	;0.217071	;1.83968
88	;0.212857	;3.84809	;8.89023	;0.214176	;1.82758
89	;0.199481	;3.84727	;8.92863	;0.214171	;1.81104
90	;0.19476	;3.84753	;8.94842	;0.211444	;1.78586
91	;0.195482	;3.84715	;8.95157	;0.210362	;1.77926
92	;0.195527	;3.84696	;8.95965	;0.209414	;1.77348
93	;0.195527	;3.84696	;8.95965	;0.209414	;1.77348
94	;0.194556	;3.84678	;8.95616	;0.209465	;1.77161
95	;0.194556	;3.84678	;8.95616	;0.209465	;1.77161
96	;0.194535	;3.84565	;8.9557	;0.209469	;1.77137
97	;0.194535	;3.84565	;8.9557	;0.209469	;1.77137
98	;0.194534	;3.84556	;8.95566	;0.209468	;1.77134
99	;0.194536	;3.84522	;8.95568	;0.209467	;1.7713
100	;0.194538	;3.84514	;8.9557	;0.209466	;1.77128
101	;0.194536	;3.8451	;8.96121	;0.209208	;1.77028
102	;0.194489	;3.84509	;8.96585	;0.209047	;1.7698
103	;0.194524	;3.8451	;8.96721	;0.208942	;1.7693
104	;0.194506	;3.84512	;8.97099	;0.208775	;1.76866
105	;0.194493	;3.84514	;8.97447	;0.208625	;1.7681
106	;0.1945	;3.84513	;8.978	;0.208462	;1.76749
107	;0.194514	;3.84514	;8.97907	;0.208397	;1.7672
108	;0.194478	;3.84514	;8.97912	;0.208374	;1.76698
109	;0.19447	;3.84513	;8.98086	;0.208326	;1.76691
110	;0.194211	;3.84513	;8.98019	;0.208344	;1.7665
111	;0.194124	;3.84513	;8.97983	;0.20835	;1.76633
112	;0.194098	;3.84513	;8.98011	;0.208335	;1.76622
113	;0.194103	;3.84513	;8.98012	;0.208327	;1.76618
114	;0.194098	;3.84513	;8.98015	;0.208327	;1.76617
115	;0.194097	;3.84513	;8.98018	;0.208326	;1.76617
116	;0.194097	;3.84513	;8.98019	;0.208325	;1.76616
117	;0.194097	;3.84513	;8.98018	;0.208324	;1.76615
118	;0.194097	;3.84513	;8.98019	;0.208323	;1.76615
119	;0.194097	;3.84513	;8.9802	;0.208323	;1.76615
120	;0.194097	;3.84513	;8.98021	;0.208323	;1.76615
121	;0.194097	;3.84512	;8.98021	;0.208323	;1.76615
122	;0.194096	;3.84512	;8.98021	;0.208323	;1.76615
123	;0.194096	;3.84511	;8.98021	;0.208323	;1.76614
124	;0.194096	;3.84511	;8.98021	;0.208323	;1.76614
125	;0.194096	;3.84511	;8.98021	;0.208323	;1.76614
126	;0.194096	;3.84511	;8.98021	;0.208322	;1.76614
127	;0.194096	;3.84511	;8.98021	;0.208322	;1.76614
128	;0.194096	;3.84511	;8.98022	;0.208322	;1.76614
129	;0.194096	;3.84511	;8.98022	;0.208322	;1.76614
130	;0.194096	;3.8451	;8.98022	;0.208322	;1.76614
131	;0.194096	;3.8451	;8.98022	;0.208322	;1.76614
132	;0.194096	;3.8451	;8.98022	;0.208322	;1.76614
133	;0.194096	;3.8451	;8.98022	;0.208322	;1.76614
134	;0.198126	;3.77458	;8.98022	;0.208322	;1.76345
135	;0.199439	;3.72623	;8.98022	;0.208323	;1.75915
136	;0.19954	;3.71208	;8.98022	;0.208323	;1.75742
137	;0.20042	;3.69283	;8.98022	;0.208323	;1.75628
138	;0.201395	;3.67456	;8.98022	;0.208323	;1.75542
139	;0.201538	;3.66544	;8.98022	;0.208323	;1.75442
140	;0.201647	;3.66287	;8.98022	;0.208323	;1.75425
141	;0.201657	;3.66236	;8.98022	;0.208323	;1.7542
142	;0.201883	;3.65883	;8.98022	;0.208323	;1.75409
143	;0.202052	;3.65494	;8.98022	;0.208323	;1.75384
144	;0.202055	;3.65319	;8.98022	;0.208323	;1.75361
145	;0.202111	;3.65221	;8.98022	;0.208323	;1.75357
146	;0.202149	;3.65102	;8.98022	;0.208323	;1.75347
147	;0.202154	;3.65094	;8.98022	;0.208323	;1.75347
148	;0.202178	;3.65046	;8.98022	;0.208323	;1.75344
149	;0.202222	;3.64951	;8.98022	;0.208323	;1.75338
150	;0.202229	;3.64924	;8.98022	;0.208323	;1.75336

1	;0.206101	;5.49672	;6.95741	;0.401434	;2.87768
2	;0.206101	;5.49672	;6.95741	;0.401434	;2.87768
3	;0.206101	;5.49672	;6.95741	;0.401434	;2.87768
4	;0.206101	;5.49672	;6.95741	;0.401434	;2.87768
5	;0.232521	;5.60848	;6.66262	;0.39256	;2.80233
6	;0.222928	;5.66431	;6.6976	;0.382776	;2.73634
7	;0.290527	;5.3568	;7.50277	;0.311828	;2.67823
8	;0.308689	;4.05961	;7.69754	;0.315194	;2.53535
9	;0.295215	;3.31019	;7.91386	;0.324071	;2.45452
10	;0.296502	;2.76246	;7.69388	;0.330934	;2.32162
11	;0.296502	;2.76246	;7.69388	;0.330934	;2.32162
12	;0.295366	;2.81084	;7.5401	;0.319892	;2.22166
13	;0.304873	;2.76325	;7.55016	;0.306491	;2.14997
14	;0.304873	;2.76325	;7.55016	;0.306491	;2.14997
15	;0.304873	;2.76325	;7.55016	;0.306491	;2.14997
16	;0.305292	;2.67807	;7.48188	;0.306343	;2.11482
17	;0.305292	;2.67807	;7.48188	;0.306343	;2.11482
18	;0.305292	;2.67807	;7.48188	;0.306343	;2.11482
19	;0.30021	;2.6982	;7.50002	;0.303939	;2.09992
20	;0.30021	;2.6982	;7.50002	;0.303939	;2.09992
21	;0.301968	;2.69872	;7.45737	;0.302997	;2.08713
22	;0.301968	;2.69872	;7.45737	;0.302997	;2.08713
23	;0.301968	;2.69872	;7.45737	;0.302997	;2.08713
24	;0.301968	;2.69872	;7.45737	;0.302997	;2.08713
25	;0.301968	;2.69872	;7.45737	;0.302997	;2.08713
26	;0.301968	;2.69872	;7.45737	;0.302997	;2.08713
27	;0.301968	;2.69872	;7.45737	;0.302997	;2.08713
28	;0.301968	;2.69872	;7.45737	;0.302997	;2.08713
29	;0.301968	;2.69872	;7.45737	;0.302997	;2.08713
30	;0.301968	;2.69872	;7.45737	;0.302997	;2.08713
31	;0.25582	;3.28347	;7.93882	;0.278735	;2.07736
32	;0.208643	;3.77702	;9.21878	;0.216989	;1.89246
33	;0.190265	;3.82028	;9.42627	;0.195617	;1.73365
34	;0.190265	;3.82028	;9.42627	;0.195617	;1.73365
35	;0.190265	;3.82028	;9.42627	;0.195617	;1.73365
36	;0.190265	;3.82028	;9.42627	;0.195617	;1.73365
37	;0.190265	;3.82028	;9.42627	;0.195617	;1.73365
38	;0.191739	;3.82408	;9.30929	;0.195482	;1.71582
39	;0.191739	;3.82408	;9.30929	;0.195482	;1.71582
40	;0.186406	;3.81304	;9.58949	;0.190257	;1.70991
41	;0.187782	;3.86411	;9.59458	;0.187905	;1.69999
42	;0.183742	;3.90049	;9.61168	;0.186289	;1.68749
43	;0.183742	;3.90049	;9.61168	;0.186289	;1.68749
44	;0.183742	;3.90049	;9.61168	;0.186289	;1.68749
45	;0.183641	;3.87225	;9.58416	;0.184563	;1.66521
46	;0.183641	;3.87225	;9.58416	;0.184563	;1.66521
47	;0.183641	;3.87225	;9.58416	;0.184563	;1.66521
48	;0.182964	;3.89601	;9.54765	;0.184575	;1.66134
49	;0.182964	;3.89601	;9.54765	;0.184575	;1.66134
50	;0.182964	;3.89601	;9.54765	;0.184575	;1.66134
51	;0.18323	;3.88557	;9.57353	;0.183973	;1.65964
52	;0.18323	;3.88557	;9.57353	;0.183973	;1.65964
53	;0.18323	;3.88557	;9.57353	;0.183973	;1.65964
54	;0.181778	;3.93406	;9.6188	;0.182625	;1.65924
55	;0.181778	;3.93406	;9.6188	;0.182625	;1.65924
56	;0.181778	;3.93406	;9.6188	;0.182625	;1.65924
57	;0.181778	;3.93406	;9.6188	;0.182625	;1.65924
58	;0.181084	;3.93087	;9.61351	;0.182529	;1.65613
59	;0.181084	;3.93087	;9.61351	;0.182529	;1.65613
60	;0.181084	;3.93087	;9.61351	;0.182529	;1.65613
61	;0.181084	;3.93087	;9.61351	;0.182529	;1.65613
62	;0.181084	;3.93087	;9.61351	;0.182529	;1.65613
63	;0.181084	;3.93087	;9.61351	;0.182529	;1.65613
64	;0.180957	;3.93874	;9.6175	;0.182268	;1.65534
65	;0.180957	;3.93874	;9.6175	;0.182268	;1.65534
66	;0.180957	;3.93874	;9.6175	;0.182268	;1.65534
67	;0.180957	;3.93874	;9.6175	;0.182268	;1.65534
68	;0.180957	;3.93874	;9.6175	;0.182268	;1.65534
69	;0.179389	;3.93068	;9.75076	;0.179396	;1.64872
70	;0.179389	;3.93068	;9.75076	;0.179396	;1.64872
71	;0.179389	;3.93068	;9.75076	;0.179396	;1.64872
72	;0.179389	;3.93068	;9.75076	;0.179396	;1.64872
73	;0.179389	;3.93068	;9.75076	;0.179396	;1.64872
74	;0.179389	;3.93068	;9.75076	;0.179396	;1.64872
75	;0.179389	;3.93068	;9.75076	;0.179396	;1.64872
76	;0.179389	;3.93068	;9.75076	;0.179396	;1.64872
77	;0.178327	;3.96306	;9.68696	;0.179422	;1.64125
78	;0.178327	;3.96306	;9.68696	;0.179422	;1.64125
79	;0.177281	;4.00669	;9.7098	;0.178438	;1.64007
80	;0.177281	;4.00669	;9.7098	;0.178438	;1.64007
81	;0.172931	;4.03157	;9.96087	;0.173995	;1.63669
82	;0.172931	;4.03157	;9.96087	;0.173995	;1.63669
83	;0.172709	;4.04927	;9.97043	;0.173212	;1.63307
84	;0.172709	;4.04927	;9.97043	;0.173212	;1.63307
85	;0.172709	;4.04927	;9.97043	;0.173212	;1.63307
86	;0.172129	;4.04778	;9.96372	;0.173102	;1.63004
87	;0.171307	;4.06933	;9.9438	;0.172873	;1.62629
88	;0.171307	;4.06933	;9.9438	;0.172873	;1.62629
89	;0.171071	;4.08644	;9.94613	;0.171211	;1.61386
90	;0.171071	;4.08644	;9.94613	;0.171211	;1.61386
91	;0.171071	;4.08644	;9.94613	;0.171211	;1.61386
92	;0.171071	;4.08644	;9.94613	;0.171211	;1.61386
93	;0.170174	;4.09714	;9.95431	;0.170491	;1.60868
94	;0.170174	;4.09714	;9.95431	;0.170491	;1.60868
95	;0.170174	;4.09714	;9.95431	;0.170491	;1.60868
96	;0.170174	;4.09714	;9.95431	;0.170491	;1.60868
97	;0.170174	;4.09714	;9.95431	;0.170491	;1.60868
98	;0.170174	;4.09714	;9.95431	;0.170491	;1.60868
99	;0.170174	;4.09714	;9.95431	;0.170491	;1.60868
100	;0.170174	;4.09714	;9.95431	;0.170491	;1.60868
101	;0.170174	;4.09714	;9.95431	;0.170491	;1.60868
102	;0.170174	;4.09714	;9.95431	;0.170491	;1.60868
103	;0.169902	;4.11388	;9.96383	;0.170119	;1.60834
104	;0.16974	;4.11415	;9.96523	;0.169868	;1.60615
105	;0.16974	;4.11415	;9.96523	;0.169868	;1.60615
106	;0.16974	;4.11415	;9.96523	;0.169868	;1.60615
107	;0.16974	;4.11415	;9.96523	;0.169868	;1.60615
108	;0.16974	;4.11415	;9.96523	;0.169868	;1.60615
109	;0.16974	;4.11415	;9.96523	;0.169868	;1.60615
110	;0.16974	;4.11415	;9.96523	;0.169868	;1.60615
111	;0.16974	;4.11415	;9.96523	;0.169868	;1.60615
112	;0.16974	;4.11415	;9.96523	;0.169868	;1.60615
113	;0.16974	;4.11415	;9.96523	;0.169868	;1.60615
114	;0.1693	;4.12474	;9.96319	;0.16966	;1.60456
115	;0.1693	;4.12474	;9.96319	;0.16966	;1.60456
116	;0.1693	;4.12474	;9.96319	;0.16966	;1.60456
117	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
118	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
119	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
120	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
121	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
122	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
123	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
124	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
125	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
126	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
127	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
128	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
129	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
130	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
131	;0.169288	;4.11972	;9.95305	;0.16981	;1.60377
132	;0.169276	;4.11226	;9.97793	;0.169448	;1.60345
133	;0.169276	;4.11226	;9.97793	;0.169448	;1.60345
134	;0.169276	;4.11226	;9.97793	;0.169448	;1.60345
135	;0.169276	;4.11226	;9.97793	;0.169448	;1.60345
136	;0.169276	;4.11226	;9.97793	;0.169448	;1.60345
